date_received	product	sub_product	issue	sub_issue	consumer_complaint_narrative	company_public_response	company	state	zip_code	tags	consumer_consent_provided	submitted_via	date_sent_to_company	company_response_to_consumer	timely_response	consumer_disputed	complaint_id
2017-03-21	Credit reporting		Incorrect information on credit report	Information is not mine		Company has responded to the consumer and the CFPB and chooses not to provide a public response	EXPERIAN DELAWARE GP	NC	28216		Consent not provided	Web	2017-03-21	Closed with non-monetary relief	True	No	2398377
2017-03-21	Credit reporting		Incorrect information on credit report	Account status	Experian reporting of XXXX XXXX reflects a foreflosure. this was a short sale of the property done on XX/XX/2013. this is not reported accurately	Company has responded to the consumer and the CFPB and chooses not to provide a public response	EXPERIAN DELAWARE GP	PA	190XX		Consent provided	Web	2017-03-21	Closed with explanation	True	No	2398200
2017-04-19	Bank account or service	Checking account	Making/receiving payments, sending money			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	MI	48623			Referral	2017-04-20	Closed with explanation	True	No	2441825
2017-03-04	Mortgage	Other mortgage	Loan modification,collection,foreclosure				JPMORGAN CHASE & CO.	NC	28731	Older American	Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371632
2017-04-19	Credit card		Other			Company has responded to the consumer and the CFPB and chooses not to provide a public response	WELLS FARGO BANK, NATIONAL ASSOCIATION	CA	93550		Consent not provided	Web	2017-04-19	Closed with explanation	True	No	2443560
2017-04-19	Bank account or service	Other bank product/service	Account opening, closing, or management				NETSPEND CORPORATION	NH	038XX	Older American		Web	2017-04-21	Closed with explanation	True	No	2442917
2017-04-21	Bank account or service	Checking account	Problems caused by my funds being low			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	DC	200XX			Web	2017-04-21	Closed with explanation	True	No	2447351
2017-03-04	Credit reporting		Incorrect information on credit report	Personal information			EQUIFAX, INC.	NJ	07843		Consent not provided	Web	2017-03-04	Closed with non-monetary relief	True	No	2371789
2017-03-10	Mortgage	Home equity loan or line of credit	Loan modification,collection,foreclosure			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	WA	98532	Older American, Servicemember		Fax	2017-03-14	Closed with explanation	True	No	2381695
2017-04-03	Bank account or service	Checking account	Deposits and withdrawals			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	WA	98052			Referral	2017-04-04	Closed with explanation	True	No	2416625
2017-03-04	Bank account or service	Other bank product/service	Using a debit or ATM card				Comerica	NC	28405		Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371634
2017-04-05	Mortgage	Home equity loan or line of credit	Application, originator, mortgage broker			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	MD	20746			Referral	2017-04-06	Closed with non-monetary relief	True	No	2421775
2017-03-04	Credit card		Balance transfer		Around XX/XX/XXXX I accepted a credit card offer from my Chase AARP card at a 0 % interest for a year with a 2 % transfer fee. Needing the money, I called Chase and asked them to deposit XXXX into my checking account and, shortly there after, they did so. Now, they are wanting the XXXX. back from my checking account. They say it was their error but they should n't have deposited the money because that checking account has n't been used to pay a Chase fee within 3 months, so could n't be approved for the transfer.. I had XXXX balances so there was no need to make a payment. They made this decision after they deposited the money into my account.They say they will pay the bank fees but where am I supposed to get the XXXX?. I do not have all of the XXXX left and what is there is allocated for checks and payments that have not cleared yet. I accepted their offer and borrowed this money in good faith and have spent many hours on the phone with various Chase reps and am that the account is active, has XXXX available credit, but they can not assign the money already borrowed to that account because it was n't used for 3 months. Surely they can lift the rule to cover their error, but they wo n't. The woman, who said she was a manager, gave me the fax number of Chase Executive Offices as my only recourse. So, I am contacting you. This is an AARP card, available only to XXXX. They are causing havoc in my life and do not care at all. Please help		JPMORGAN CHASE & CO.	TN	376XX	Older American	Consent provided	Web	2017-03-04	Closed with monetary relief	True	No	2371616
2017-04-04	Credit card		Identity theft / Fraud / Embezzlement				DISCOVER BANK	NJ	08902			Referral	2017-04-05	Closed with explanation	True	No	2418794
2012-08-21	Mortgage	Other mortgage	Other				BANK OF AMERICA, NATIONAL ASSOCIATION	NY	11218			Postal mail	2012-08-21	Closed with explanation	True	No	139273
2017-03-10	Debt collection	Mortgage	Disclosure verification of debt	Not given enough info to verify debt			CARRINGTON MORTGAGE SERVICES	NJ	07747			Referral	2017-03-14	Closed with explanation	True	No	2380778
2017-04-18	Other financial service	Check cashing	Customer service/Customer relations			Company has responded to the consumer and the CFPB and chooses not to provide a public response	Fidelity National Information Services, Inc. (FNIS)	ME	04747	Older American		Referral	2017-04-19	Closed with explanation	True	No	2440513
2017-04-18	Credit card		Credit determination			Company has responded to the consumer and the CFPB and chooses not to provide a public response	U.S. BANCORP	PA	191XX			Web	2017-04-18	Closed with non-monetary relief	True	No	2440285
2017-04-20	Debt collection	Credit card	Cont'd attempts collect debt not owed	Debt is not mine		Company has responded to the consumer and the CFPB and chooses not to provide a public response	SYNCHRONY BANK	WA	25302	Older American, Servicemember		Phone	2017-04-21	Closed with monetary relief	True	No	2444790
2017-04-20	Bank account or service	Checking account	Deposits and withdrawals			Company believes it acted appropriately as authorized by contract or law	NETSPEND CORPORATION	NV	891XX			Web	2017-04-21	Closed with explanation	True	No	2444547
2017-04-19	Mortgage	Other mortgage	Loan servicing, payments, escrow account				JPMORGAN CHASE & CO.	PA	19422			Postal mail	2017-04-19	Closed with explanation	True	No	2442270
2017-04-21	Debt collection	Credit card	Disclosure verification of debt	Not given enough info to verify debt			JH Portfolio Debt Equities, LLC	TX	752XX			Web	2017-04-21	Closed with explanation	True	No	2444577
2017-04-19	Credit card		Transaction issue				CAPITAL ONE FINANCIAL CORPORATION	MD	212XX			Web	2017-04-19	Closed with explanation	True	No	2441982
2017-04-20	Consumer Loan	Installment loan	Managing the loan or lease			Company has responded to the consumer and the CFPB and chooses not to provide a public response	SYNCHRONY BANK	TX	775XX	Servicemember		Web	2017-04-21	Closed with non-monetary relief	True	No	2444123
2017-03-22	Credit reporting		Credit monitoring or identity protection	Problem with fraud alerts		Company has responded to the consumer and the CFPB and chooses not to provide a public response	EXPERIAN DELAWARE GP	GA	30309			Referral	2017-03-22	Closed with explanation	True	No	2399982
2017-03-06	Credit reporting		Incorrect information on credit report	Account status	XXXX has wrongfully placed an account in collections. XXXX has indicated that I owed {$1700.00} for water bills at XXXX. This is absolutely false. All of the bills were in good standing upon leaving. This company bulldogged and bullied me into leaving the property. They initiated an eviction on me when all of the rents were paid on time. Elite home management has placed this account in collection with National Credit Systems. I would like this account removed from collections immediately. Attached is full documentation that this account was paid in full. Additionally, XXXX kept my deposit. I would like to request my deposit be returned as I left the property in good standing and was NEVER late paying monthly rent. Please see all attached documentation. Furthermore, the claim that XXXX is stating I owe monies for a water bill is false. The amount started in XXXX of 2012. The account was never placed in my name and started with a balance of over {$700.00}! XXXX presented false documents to the court in order to have me evicted from the property. I 'm requesting that this is immediately removed from my credit report and handled outside of a credit reporting agency as these claims are false!	Company believes it acted appropriately as authorized by contract or law	National Credit Systems,Inc.	GA	300XX		Consent provided	Web	2017-03-08	Closed with explanation	True	No	2373228
2017-04-07	Bank account or service	Checking account	Account opening, closing, or management			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BANK OF AMERICA, NATIONAL ASSOCIATION	CT	06484			Referral	2017-04-07	Closed with monetary relief	True	No	2425815
2017-04-14	Mortgage	Conventional fixed mortgage	Loan servicing, payments, escrow account		Regarding PMI : we paid up front at closing to not have PMI on our mortgage with the understanding that it is cancelled at 80 % LTV ratio. Four years later when we reached 80 % Wells Fargo will start charging PMI until the LTV reaches 78 % or we pay about {$550.00} for a Wells Fargo appraisal to verify loan value has not diminished. Wells Fargo will not accept a property tax statement as proof of house value. Please help to make it allowable for Wells Fargo to accept a property tax statement as home value instead of demanding their service.	Company has responded to the consumer and the CFPB and chooses not to provide a public response	WELLS FARGO BANK, NATIONAL ASSOCIATION	TX	750XX		Consent provided	Web	2017-04-14	Closed with explanation	True	No	2436277
2017-04-21	Credit reporting		Incorrect information on credit report	Public record			EXPERIAN DELAWARE GP	FL	34201			Web	2017-04-26	In progress	True	No	2446912
2017-03-04	Consumer Loan	Vehicle loan	Problems when you are unable to pay				PRESTIGE FINANCIAL SERVICES INC	IL	60653		Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371938
2017-04-20	Credit card		Other fee			Company believes complaint is the result of an isolated error	UNITED SERVICES AUTOMOBILE ASSOCIATION	TX	78727		Consent not provided	Web	2017-04-20	Closed with monetary relief	True	No	2444855
2017-04-18	Consumer Loan	Vehicle loan	Taking out the loan or lease			Company has responded to the consumer and the CFPB and chooses not to provide a public response	Westlake Services, LLC	CA	925XX	Older American		Web	2017-04-18	Closed with explanation	True	No	2440401
2017-04-03	Credit reporting		Incorrect information on credit report	Public record			EQUIFAX, INC.	DC	20032			Web	2017-04-03	Closed with explanation	True	No	2417137
2016-05-06	Debt collection	Other (i.e. phone, health club, etc.)	Cont'd attempts collect debt not owed	Debt is not mine	i gave a vehicle away signed a bill of sale and turned in a release of liability to the dmv 6 plus years after i have a report on my XXXX that i have a XXXX dollar debt for the vehicle after it was impounded.i contacted the reporting persons and was told that because the other party had not followed through i was responsible even though the XXXX couldnt find a record of me owning the vehicle.i tried working with this company providing all the info i could for them even though the dmv wasnt able to find my name attached to this vehicle and refused to investagate anything		FINEX Group LLC	CA	953XX		Consent provided	Web	2016-05-06	Closed with explanation	False	No	1914423
2017-03-04	Debt collection	Credit card	Cont'd attempts collect debt not owed	Debt is not mine			Levy and Associates, LLC	OH	43235		Consent not provided	Web	2017-03-04	Closed with explanation	True	Yes	2371593
2017-03-04	Debt collection	Credit card	Cont'd attempts collect debt not owed	Debt resulted from identity theft			ONEMAIN FINANCIAL HOLDINGS, LLC.	NC	27597		Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2371642
2017-04-17	Credit card		Identity theft / Fraud / Embezzlement			Company has responded to the consumer and the CFPB and chooses not to provide a public response	CITIBANK, N.A.	CO	80221			Phone	2017-04-17	Closed with explanation	True	No	2437474
2017-04-18	Credit card		Credit line increase/decrease			Company believes it acted appropriately as authorized by contract or law	UNITED SERVICES AUTOMOBILE ASSOCIATION	PA	15963	Older American		Postal mail	2017-04-18	Closed with explanation	True	No	2440352
2017-04-18	Student loan	Non-federal student loan	Dealing with my lender or servicer	Having problems with customer service			Navient Solutions, LLC.	VT	054XX			Web	2017-04-18	In progress	True	No	2440969
2017-04-20	Debt collection	I do not know	Cont'd attempts collect debt not owed	Debt resulted from identity theft			Concentric Receivables Management, Ltd.	TX	775XX			Web	2017-04-20	Closed with explanation	True	No	2444285
2012-12-31	Mortgage	Other mortgage	Loan modification,collection,foreclosure				OCWEN LOAN SERVICING LLC	MI	48320			Fax	2013-01-02	Closed with explanation	True	No	215643
2017-04-21	Debt collection	Other (i.e. phone, health club, etc.)	Communication tactics	Frequent or repeated calls			URS Holding, LLC	TN	379XX			Web	2017-04-21	Closed with explanation	True	No	2446884
2017-04-08	Consumer Loan	Vehicle lease	Taking out the loan or lease		I have leased a vehicle XX/XX/2015 from an authorized dealer in the state of Nevada for a lease purchase of XX/XX/2015 XXXX XXXX for the total amount {$63000.00} and the lease for 39 months payments payment amount each month {$980.00}. After one year making payments requested a buy-out amount and the information received for the buy-out total {$63000.00}. I called Ally auto asking why is the buy-out same the original purchase price? There answer was the payment paid does not deduct from the lease amount. This was surprise to me and the lease residual is at 49 % of the purchase price which the lease payment considered as a rent payment. I 've had leases with other banks and never experienced this before which each payment you make it does deduct from the purchase price. Ally is refusing to correct based on the guidelines and lease practices. I am not able to exchange the car for a better lease terms and by trading the car for another lease loan I will be in upside down situation. Could you please help with this matter?	Company has responded to the consumer and the CFPB and chooses not to provide a public response	ALLY FINANCIAL INC.	CA	926XX		Consent provided	Web	2017-04-08	Closed with explanation	True	No	2426136
2017-04-18	Bank account or service	Checking account	Account opening, closing, or management				BBVA COMPASS FINANCIAL CORPORATION	MA	02151			Referral	2017-04-18	Closed with monetary relief	True	No	2439654
2017-03-02	Mortgage	Conventional fixed mortgage	Loan servicing, payments, escrow account				Dovenmuehle Mortgage, Inc.	CT	06360			Phone	2017-03-06	Closed with explanation	True	No	2369802
2017-04-07	Credit card		Billing disputes			Company has responded to the consumer and the CFPB and chooses not to provide a public response	BARCLAYS BANK DELAWARE	TX	79607	Servicemember	Consent not provided	Web	2017-04-07	Closed with explanation	True	No	2423941
2017-04-09	Credit card		Bankruptcy				DISCOVER BANK	AZ	85139			Web	2017-04-09	Closed with explanation	True	No	2426593
2017-02-28	Debt collection	Other (i.e. phone, health club, etc.)	Improper contact or sharing of info	Contacted me after I asked not to			EXPERT GLOBAL SOLUTIONS, INC.				Consent not provided	Web	2017-03-04	Closed with explanation	True	No	2364897
2017-04-20	Bank account or service	Checking account	Account opening, closing, or management				BANK OF AMERICA, NATIONAL ASSOCIATION	MD	212XX			Web	2017-04-20	In progress	True	No	2443787
2017-04-15	Bank account or service	Checking account	Account opening, closing, or management			Company has responded to the consumer and the CFPB and chooses not to provide a public response	U.S. BANCORP	NC			Consent not provided	Web	2017-04-17	Closed with explanation	True	No	2436823
