,title,release_date,runtime,vote_count,vote_average,budget,revenue,profit,rating_category
168,Final Fantasy: The Spirits Within,2001-07-02,106,433,5.9,137.0,85.13183,-51.868170000000006,Average
169,Captain America: The First Avenger,2011-07-22,124,7047,6.6,140.0,370.569774,230.569774,Average
170,The World Is Not Enough,1999-11-08,128,862,6.0,135.0,361.8324,226.8324,Average
171,Master and Commander: The Far Side of the World,2003-11-14,138,790,6.9,150.0,212.011111,62.011111,Average
172,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,115,2553,6.1,120.0,829.0,709.0,Average
173,Happy Feet Two,2011-11-17,100,373,5.8,130.0,150.406466,20.406465999999995,Average
174,The Incredible Hulk,2008-06-12,114,3021,6.1,150.0,163.712074,13.712074000000001,Average
175,The BFG,2016-06-01,120,1000,6.0,140.0,183.345589,43.34558899999999,Average
176,The Revenant,2015-12-25,156,6396,7.3,135.0,532.950503,397.950503,Good
177,Turbo,2013-07-11,96,1074,6.1,135.0,282.570682,147.57068199999998,Average
178,Rango,2011-03-02,107,2051,6.6,135.0,245.724603,110.724603,Average
179,Penguins of Madagascar,2014-11-22,92,1346,6.5,132.0,373.552094,241.552094,Average
180,The Bourne Ultimatum,2007-08-03,115,2888,7.3,70.0,442.824138,372.824138,Good
181,Kung Fu Panda,2008-06-04,90,3145,6.9,130.0,631.74456,501.74456,Average
182,Ant-Man,2015-07-14,117,5880,7.0,130.0,519.311965,389.311965,Good
183,The Hunger Games: Catching Fire,2013-11-15,146,6495,7.4,130.0,847.423452,717.423452,Good
184,Home,2015-03-18,94,1519,6.8,135.0,368.871007,233.87100700000002,Average
185,War of the Worlds,2005-06-28,116,2322,6.2,132.0,591.739379,459.739379,Average
186,Bad Boys II,2003-07-18,147,1564,6.3,130.0,273.339556,143.33955600000002,Average
187,Puss in Boots,2011-10-28,90,451,6.4,130.0,554.987477,424.987477,Average
188,Salt,2010-07-21,100,2093,6.2,110.0,293.329073,183.329073,Average
189,Noah,2014-03-20,139,2350,5.6,125.0,362.637473,237.637473,Average
190,The Adventures of Tintin,2011-10-25,107,2061,6.7,130.0,371.940071,241.940071,Average
191,Harry Potter and the Prisoner of Azkaban,2004-05-31,141,5877,7.7,130.0,789.804554,659.804554,Good
192,Australia,2008-11-18,165,694,6.3,130.0,49.554002,-80.445998,Average
193,After Earth,2013-05-30,100,2532,5.0,130.0,243.843127,113.84312700000001,Average
194,Dinosaur,2000-05-19,82,542,6.2,127.5,354.248063,226.748063,Average
195,Night at the Museum: Secret of the Tomb,2014-12-17,97,1851,6.1,127.0,349.424282,222.424282,Average
196,Megamind,2010-10-28,95,1918,6.7,130.0,321.887208,191.887208,Average
197,Harry Potter and the Philosopher's Stone,2001-11-16,152,7006,7.5,125.0,976.47555,851.47555,Good
198,R.I.P.D.,2013-07-18,96,1260,5.4,130.0,61.6485,-68.3515,Average
199,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,143,6985,7.5,140.0,655.011224,515.011224,Good
200,The Hunger Games: Mockingjay - Part 1,2014-11-18,123,5584,6.6,125.0,752.100229,627.100229,Average
201,The Da Vinci Code,2006-05-17,149,2704,6.5,125.0,767.820459,642.820459,Average
202,Rio 2,2014-03-19,102,978,6.3,103.0,500.188435,397.188435,Average
203,X2,2003-04-24,133,3506,6.8,110.0,407.711549,297.711549,Average
204,Fast Five,2011-04-20,130,2438,7.1,125.0,626.137675,501.13767499999994,Good
205,Sherlock Holmes: A Game of Shadows,2011-11-22,129,3886,7.0,125.0,334.615,209.615,Good
206,Clash of the Titans,2010-04-01,106,2233,5.6,125.0,232.713139,107.71313900000001,Average
207,Total Recall,1990-06-01,113,1710,7.1,65.0,261.317921,196.317921,Good
208,The 13th Warrior,1999-08-27,102,510,6.4,160.0,61.698899,-98.301101,Average
209,The Bourne Legacy,2012-08-08,120,2651,6.0,130.0,276.572938,146.57293800000002,Average
210,Batman & Robin,1997-06-20,125,1418,4.2,125.0,238.207122,113.207122,Poor
211,How the Grinch Stole Christmas,2000-11-17,104,1386,6.2,123.0,345.141403,222.14140300000003,Average
212,The Day After Tomorrow,2004-05-26,124,2392,6.2,125.0,544.272402,419.27240200000006,Average
213,Mission: Impossible II,2000-05-24,123,1928,5.9,125.0,546.388105,421.388105,Average
214,The Perfect Storm,2000-03-15,130,597,6.2,120.0,325.756637,205.756637,Average
215,Fantastic 4: Rise of the Silver Surfer,2007-06-13,92,2589,5.4,130.0,289.047763,159.04776299999997,Average
216,Life of Pi,2012-11-20,127,5797,7.2,120.0,609.016565,489.016565,Good
217,Ghost Rider,2007-02-16,114,1712,5.2,110.0,228.738393,118.738393,Average
218,Jason Bourne,2016-07-27,123,2341,5.9,120.0,415.484914,295.484914,Average
219,Charlie's Angels: Full Throttle,2003-06-27,106,914,5.2,120.0,259.175788,139.175788,Average
220,Prometheus,2012-05-30,124,5080,6.3,130.0,403.170142,273.170142,Average
221,Stuart Little 2,2002-07-19,78,613,5.4,120.0,169.956806,49.956806,Average
222,Elysium,2013-08-07,109,3439,6.4,115.0,286.1407,171.14069999999998,Average
223,The Chronicles of Riddick,2004-06-11,119,1570,6.3,105.0,115.772733,10.772733000000002,Average
224,RoboCop,2014-01-30,102,2342,5.7,120.0,242.688965,122.688965,Average
225,Speed Racer,2008-05-09,135,354,5.7,120.0,93.945766,-26.054233999999994,Average
226,How Do You Know,2010-12-17,121,223,4.9,120.0,48.668907,-71.33109300000001,Poor
227,Knight and Day,2010-06-15,109,1547,5.9,117.0,261.930431,144.930431,Average
228,Oblivion,2013-04-10,124,4800,6.4,120.0,286.168572,166.16857199999998,Average
229,Star Wars: Episode III - Revenge of the Sith,2005-05-17,140,4116,7.1,113.0,850.0,737.0,Good
230,Star Wars: Episode II - Attack of the Clones,2002-05-15,142,3992,6.4,120.0,649.398328,529.398328,Average
231,"Monsters, Inc.",2001-11-01,92,5996,7.5,115.0,562.816256,447.81625599999995,Good
232,The Wolverine,2013-07-23,126,4053,6.3,120.0,415.440673,295.440673,Average
233,Star Wars: Episode I - The Phantom Menace,1999-05-19,136,4432,6.3,115.0,924.317558,809.317558,Average
234,The Croods,2013-03-20,98,2399,6.8,135.0,585.178928,450.17892800000004,Average
235,Asterix at the Olympic Games,2008-01-13,116,471,5.0,97.2504,132.9,35.64960000000001,Average
236,Windtalkers,2002-06-14,134,341,5.8,115.0,77.628265,-37.371735,Average
237,The Huntsman: Winter's War,2016-04-06,114,1523,6.0,115.0,164.602163,49.60216299999999,Average
238,Teenage Mutant Ninja Turtles,2014-08-07,101,2636,5.8,125.0,477.2,352.2,Average
239,Gravity,2013-09-27,91,5751,7.3,105.0,716.392705,611.392705,Good
240,Dante's Peak,1997-02-07,108,428,5.7,116.0,178.12776,62.127759999999995,Average
241,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,112,963,5.8,135.0,245.623848,110.62384800000001,Average
242,Fantastic Four,2015-08-05,100,2278,4.4,120.0,167.977596,47.977596000000005,Poor
243,Night at the Museum,2006-10-20,108,2862,6.3,110.0,574.480841,464.48084100000005,Average
244,San Andreas,2015-05-27,114,2968,6.0,110.0,470.490832,360.490832,Average
245,Tomorrow Never Dies,1997-12-11,119,925,6.0,110.0,333.011068,223.01106800000002,Average
246,The Patriot,2000-06-28,165,1099,6.8,110.0,215.294342,105.294342,Average
247,Ocean's Twelve,2004-12-09,125,2124,6.4,110.0,362.74428,252.74428,Average
248,Mr. & Mrs. Smith,2005-06-07,120,2965,6.5,110.0,478.20752,368.20752,Average
249,Insurgent,2015-03-18,119,3829,6.2,110.0,295.238201,185.238201,Average
250,The Aviator,2004-12-17,170,1489,7.0,116.0,102.0,-14.0,Good
251,Gulliver's Travels,2010-12-25,85,621,4.9,112.0,237.382724,125.382724,Poor
252,The Green Hornet,2011-01-12,119,1251,5.5,120.0,227.817248,107.817248,Average
253,300: Rise of an Empire,2014-03-05,102,2397,6.1,110.0,337.580051,227.58005100000003,Average
254,The Smurfs,2011-07-29,103,1179,5.5,110.0,563.749323,453.749323,Average
255,Home on the Range,2004-04-02,76,389,5.7,110.0,103.951461,-6.048539000000005,Average
256,Allegiant,2016-03-09,121,1998,5.9,110.0,179.246868,69.246868,Average
257,Real Steel,2011-09-28,127,2692,6.6,110.0,299.268508,189.268508,Average
258,The Smurfs 2,2013-07-30,105,695,5.5,105.0,347.434178,242.43417799999997,Average
259,Speed 2: Cruise Control,1997-06-13,121,434,4.1,160.0,164.508066,4.508066000000014,Poor
260,Ender's Game,2013-10-23,114,2303,6.6,110.0,125.537191,15.537191000000007,Average
261,Live Free or Die Hard,2007-06-20,128,2089,6.4,110.0,383.531464,273.531464,Average
262,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,178,8705,8.0,93.0,871.368364,778.368364,Good
263,Around the World in 80 Days,2004-06-16,120,672,5.7,110.0,72.178895,-37.821105,Average
264,Ali,2001-12-11,157,447,6.7,107.0,87.713825,-19.286175,Average
265,The Cat in the Hat,2003-11-21,82,366,4.9,0.0,0.0,0.0,Poor
266,"I, Robot",2004-07-15,115,3793,6.7,120.0,347.234916,227.234916,Average
267,Kingdom of Heaven,2005-05-03,144,1157,6.6,130.0,211.643158,81.643158,Average
268,Stuart Little,1999-12-17,84,959,5.8,133.0,300.135367,167.13536699999997,Average
269,The Princess and the Frog,2009-12-08,97,1247,6.7,105.0,267.045765,162.04576500000002,Average
270,The Martian,2015-09-30,141,7268,7.6,108.0,630.16189,522.16189,Good
271,The Island,2005-07-20,136,1770,6.5,126.0,162.949164,36.949163999999996,Average
272,Town & Country,2001-04-27,104,16,3.7,90.0,10.372291,-79.627709,Poor
273,Gone in Sixty Seconds,2000-06-09,118,1485,6.1,90.0,237.202299,147.202299,Average
274,Gladiator,2000-05-01,155,5439,7.9,103.0,457.640427,354.640427,Good
275,Minority Report,2002-06-20,145,2608,7.1,102.0,358.372926,256.372926,Good
276,Harry Potter and the Chamber of Secrets,2002-11-13,161,5815,7.4,100.0,876.688482,776.688482,Good
277,Casino Royale,2006-11-14,144,3855,7.3,150.0,599.04596,449.04596000000004,Good
278,Planet of the Apes,2001-07-25,119,1243,5.6,100.0,362.21174,262.21174,Average
279,Terminator 2: Judgment Day,1991-07-01,137,4185,7.7,100.0,520.0,420.0,Good
280,Public Enemies,2009-07-01,140,1344,6.5,80.0,214.10462,134.10462,Average
281,American Gangster,2007-11-02,157,1502,7.4,100.0,266.465037,166.465037,Good
282,True Lies,1994-07-14,141,1116,6.8,115.0,378.882411,263.882411,Average
283,The Taking of Pelham 1 2 3,2009-06-11,106,954,6.2,100.0,150.166126,50.16612599999999,Average
284,Little Fockers,2010-12-21,98,1060,5.4,100.0,310.650585,210.65058499999998,Average
285,The Other Guys,2010-08-06,107,1383,6.1,100.0,170.432927,70.432927,Average
286,Eraser,1996-06-21,115,543,5.6,100.0,242.295562,142.295562,Average
287,Django Unchained,2012-12-25,165,10099,7.8,100.0,425.368238,325.368238,Good
288,The Hunchback of Notre Dame,1996-06-21,91,1129,6.8,100.0,100.138851,0.1388510000000025,Average
289,The Emperor's New Groove,2000-12-09,78,1490,7.2,100.0,169.327687,69.327687,Good
290,The Expendables 2,2012-08-08,103,2896,6.1,100.0,312.573423,212.573423,Average
291,National Treasure,2004-11-19,131,1926,6.4,100.0,347.451894,247.45189399999998,Average
292,Eragon,2006-12-14,104,967,4.9,100.0,249.288105,149.288105,Poor
293,Where the Wild Things Are,2009-10-16,101,572,6.4,100.0,100.086793,0.08679300000000012,Average
294,Epic,2013-05-15,102,1121,6.4,100.0,268.426634,168.42663399999998,Average
295,The Tourist,2010-12-08,103,1699,6.0,100.0,278.731369,178.73136899999997,Average
296,End of Days,1999-11-24,121,482,5.5,100.0,211.989043,111.98904300000001,Average
297,Blood Diamond,2006-12-07,143,2281,7.3,100.0,170.877916,70.877916,Good
298,The Wolf of Wall Street,2013-12-25,180,6571,7.9,100.0,392.000694,292.000694,Good
299,Batman Forever,1995-05-31,121,1498,5.2,100.0,336.529144,236.52914399999997,Average
300,Starship Troopers,1997-11-06,129,1560,6.7,105.0,121.214377,16.214377,Average
301,Cloud Atlas,2012-10-26,172,2977,6.6,102.0,130.482868,28.482867999999996,Average
